id,eval_unit_id,project_id,organism,service_center,street_num,street_name,muni,postal_code,num_dwellings,num_floors,area_footprint,area_total,ivp,disrepair_state,interest_adjust_date,contract_end_date,category,building_id
39631,01023783219608100000000,2655,Omh des Iles-de-la-Madeleine,CS Gaspésie,32,chemin De L'École,Les Îles-de-la-Madeleine,G4T 9H2,11,2,447.88,895.76,5.30,B,1987-06-01,2022-06-01,MULTIFAMILIAL,131180
42836,01023745175485900000000,2002,Omh des Iles-de-la-Madeleine,CS Gaspésie,179,chemin Valentin-Cummi,Les Îles-de-la-Madeleine,G4T 2E5,20,2,740.46,1480.92,6.10,B,1982-01-01,2016-11-01,MULTIFAMILIAL,126055
43190,01023723106754400000000,1693,Omh des Iles-de-la-Madeleine,CS Gaspésie,576,chemin Du Bassin,Les Îles-de-la-Madeleine,G4T 0C4,17,2,733.36,1352.48,6.70,B,1979-01-01,2029-01-01,MULTIFAMILIAL,126011
39782,01023783219608100000000,2655,Omh des Iles-de-la-Madeleine,CS Gaspésie,28,chemin De L'École,Les Îles-de-la-Madeleine,G4T 9H2,6,2,292.00,584.00,9.00,B,1987-06-01,2022-06-01,MULTI. JUMELE OU EN RANGEE,131191
32605,81017653223473000000000,50052,Habitations La relance,CS Gatineau,60,rue Hanson,Gatineau,J8Y 3M5,8,2,302.26,604.52,14.30,C,1990-10-01,2025-10-01,MULTIFAMILIAL,161895
32594,81017653223473000000000,50052,Habitations La relance,CS Gatineau,62,rue Hanson,Gatineau,J8Y 3M5,16,2,429.70,1718.80,6.90,B,1990-10-01,2025-10-01,MULTIFAMILIAL,161873
5191,81017623526759400000000,2238,Oh de Outaouais,CS Gatineau,30,rue Des Étudiants,Gatineau,J8Y 1B8,32,2,947.40,3251.90,31.10,E,1986-01-01,2020-05-04,AUTRE,66172
4756,81017633623622100000000,1058,Oh de Outaouais,CS Gatineau,24,rue Arthur-Buies,Gatineau,J8Z 1P5,12,3,368.60,1290.10,71.00,E,1971-09-01,2021-09-01,MULTIFAMILIAL,7781
4760,81017633623622100000000,1058,Oh de Outaouais,CS Gatineau,26,rue Arthur-Buies,Gatineau,J8Z 1P5,12,3,368.60,1290.10,83.70,E,1971-09-01,2021-09-01,MULTIFAMILIAL,7792
83414,81017562952511300000000,2922,Oh de Outaouais,CS Gatineau,291,rue North,Gatineau,J9H 6W1,6,3,248.16,744.48,17.20,D,1989-06-01,2024-06-01,MULTIFAMILIAL,137712
5025,81017673645746000000000,1307,Oh de Outaouais,CS Gatineau,25,rue Guertin,Gatineau,J8T 5Y8,80,8,646.89,6084.56,30.00,D,1976-01-01,2026-01-01,MULTIFAMILIAL,5353
